Observer	STREET	TB_number (in the street)	DATE	Real name of the street	TB_tree	TB_soil/grill	TB_taxa
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	67	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	88	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	104	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	107	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	108	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	109	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	POMM	7	13/05/14	rue de Pommard	Tilia sp.	grill	Chenopodium album
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	49	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	57	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	88	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	92	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	131	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	135	13/05/14	rue de Bercy	Tilia sp.	grill	Chenopodium album
CESCO	RBER	60	13/05/14	rue de Bercy	Tilia sp.	grill	Cirsium arvense
CESCO	RBER	90	13/05/14	rue de Bercy	Tilia sp.	grill	Cirsium arvense
CESCO	RBER	88	13/05/14	rue de Bercy	Tilia sp.	grill	Cirsium vulgare
CESCO	RBER	7	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	8	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	9	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	10	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	33	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	75	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	RBER	91	13/05/14	rue de Bercy	Tilia sp.	grill	Convolvulus arvensis
CESCO	POMM	19	13/05/14	rue de Pommard	Tilia sp.	grill	Cymbalaria muralis
CESCO	RBER	125	13/05/14	rue de Bercy	Tilia sp.	grill	Elytrigia repens
CESCO	RBER	128	13/05/14	rue de Bercy	Tilia sp.	grill	Elytrigia repens
CESCO	RBER	135	13/05/14	rue de Bercy	Tilia sp.	grill	Elytrigia repens
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	45	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	48	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	60	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	62	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	65	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	90	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	91	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	92	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	99	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	105	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	108	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	126	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	RBER	136	13/05/14	rue de Bercy	Tilia sp.	grill	Epilobium tetragonum
CESCO	POMM	1	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	2	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	3	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	4	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	5	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	8	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	10	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	18	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	19	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	21	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	22	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	26	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	29	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	30	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	32	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	33	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	36	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	37	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	38	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	45	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	47	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	48	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	50	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	51	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	52	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	53	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	54	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	55	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	56	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	57	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	59	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	60	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	61	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	62	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	63	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	65	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	67	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	70	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	71	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	72	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	77	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	78	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	79	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	80	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	81	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	82	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	83	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	84	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	89	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	90	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	91	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	92	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	96	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	97	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	98	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	99	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	100	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	101	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	102	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	103	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	104	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	105	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	106	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	107	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	108	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	109	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	111	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	112	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	113	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	115	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	116	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	117	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	RBER	122	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron canadensis
CESCO	POMM	5	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron sumatrensis
CESCO	POMM	6	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron sumatrensis
CESCO	POMM	7	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron sumatrensis
CESCO	POMM	12	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron sumatrensis
CESCO	POMM	28	13/05/14	rue de Pommard	Tilia sp.	grill	Erigeron sumatrensis
CESCO	RBER	76	13/05/14	rue de Bercy	Tilia sp.	grill	Erigeron sumatrensis
CESCO	RBER	33	13/05/14	rue de Bercy	Tilia sp.	grill	Erodium malacoides
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Galinsoga parviflora
CESCO	RBER	69	13/05/14	rue de Bercy	Tilia sp.	grill	Galinsoga parviflora
CESCO	RBER	65	13/05/14	rue de Bercy	Tilia sp.	grill	Galinsoga quadriradiata
CESCO	RBER	100	13/05/14	rue de Bercy	Tilia sp.	grill	Galinsoga quadriradiata
CESCO	RBER	95	13/05/14	rue de Bercy	Tilia sp.	grill	Galium aparine
CESCO	RBER	98	13/05/14	rue de Bercy	Tilia sp.	grill	Galium aparine
CESCO	RBER	135	13/05/14	rue de Bercy	Tilia sp.	grill	Galium aparine
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium dissectum
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium dissectum
CESCO	POMM	20	13/05/14	rue de Pommard	Tilia sp.	grill	Geranium robertianum
CESCO	RBER	81	13/05/14	rue de Bercy	Tilia sp.	grill	Geranium robertianum
