PA_voie;PA_numérobis;COORD_X;COORD_Y
CHAR;87;604382.360859;125821.010966
CHAR;88;604378.115474;125825.131487
CHAR;89;604373.870089;125829.252007
CHAR;90;604369.125247;125833.747121
CHAR;91;604364.005813;125838.616827
CHAR;92;604360.010157;125842.612483
CHAR;93;604355.390179;125847.107596
CHAR;94;604349.022102;125853.350809
CHAR;95;604345.026446;125857.221601
CHAR;96;604341.155654;125860.967529
CHAR;97;604336.910269;125865.088049
CHAR;98;604332.914613;125868.958841
CHAR;99;604327.545450;125874.328004
CHAR;100;604323.424929;125878.198796
CHAR;101;604319.304409;125882.194453
CHAR;102;604315.059024;125886.314973
CHAR;103;604311.063367;125890.185765
CHAR;104;604307.317440;125893.806829
CHAR;105;604302.223270;125898.343304
CHAR;106;604298.951534;125901.923005
CHAR;107;604295.205607;125905.918662
CHAR;108;604281.845131;125918.280223
CHAR;109;604277.599746;125922.400744
CHAR;110;604273.728954;125926.646129
CHAR;111;604269.233841;125931.016378
CHAR;112;604265.487913;125934.512577
CHAR;113;604260.992800;125938.882826
CHAR;114;604256.747415;125943.003346
CHAR;115;604252.502031;125946.999003
CHAR;116;604248.381510;125951.119523
CHAR;117;604244.011261;125955.364908
CHAR;118;604239.641012;125959.735157
CHAR;119;604231.524835;125969.099976
CHAR;120;604228.403229;125973.220497
CHAR;121;604223.158930;125980.212895
CHAR;122;604217.290310;125987.954479
CHAR;123;604213.544382;125992.949049
CHAR;124;604208.300083;125999.691719
CHAR;125;604204.679020;126004.686290
CHAR;126;604199.934178;126010.679774
CHAR;127;604195.439065;126016.548394
CHAR;128;604191.443408;126021.917557
CHAR;129;604186.823431;126027.786177
CHAR;130;604182.328318;126033.904526
CHAR;131;604178.082933;126039.398553
CHAR;132;604173.962412;126044.892581
CHAR;133;604170.216485;126049.762287
CHAR;134;604162.849493;126059.626563
CHAR;135;604156.856009;126067.118419
CHAR;136;604152.610624;126072.987039
CHAR;137;604147.241461;126079.979437
CHAR;138;604144.369583;126083.975093
CHAR;139;604140.748520;126088.969664
CHAR;140;604116.899446;126134.669982
CHAR;141;604114.651890;126138.665638
CHAR;142;604112.404333;126144.034801
CHAR;143;604110.656234;126149.029372
CHAR;144;604108.408677;126153.899078
CORB;1;603347.485889;126577.188912
CORB;2;603345.862654;126571.320292
CORB;3;603343.989690;126564.702486
CORB;4;603342.116726;126557.959816
CORB;5;603340.493491;126552.340925
CORB;6;603337.621613;126542.351784
CORB;7;603336.372971;126538.106399
CORB;8;603333.251364;126526.868616
CORB;9;603331.003807;126519.127032
CORB;10;603327.257880;126506.390878
CORB;11;603325.384916;126499.897936
CORB;12;603319.766024;126489.908796
CORB;13;603313.897404;126486.162868
CORB;14;603307.654191;126482.916397
CORB;15;603301.660707;126479.295334
CORB;16;603296.291544;126475.923999
CORI;1;603794.749661;126478.421284
CORI;2;603798.120996;126472.927257
CORI;3;603802.241517;126466.684044
CORI;4;603805.737716;126461.689474
CORI;5;603809.608508;126455.945718
CORI;6;603813.354436;126449.827369
CORI;7;603817.100363;126444.083613
CORI;8;603821.096020;126438.339857
DAUM;1;603589.722550;126895.592770
DAUM;2;603585.477165;126898.589512
DAUM;3;603581.856101;126901.336526
DAUM;4;603573.864789;126907.080281
DAUM;5;603569.869133;126910.077024
DAUM;6;603565.374019;126913.573223
DAUM;7;603561.253499;126916.569965
DAUM;8;603556.633521;126919.816436
DAUM;9;603552.513001;126922.813178
DAUM;10;603548.517345;126925.809920
DAUM;11;603544.396824;126928.806662
DAUM;12;603540.650896;126931.428812
DAUM;13;603536.530376;126934.675282
DAUM;14;603532.409855;126937.547160
DAUM;15;603528.164471;126940.668767
DAUM;16;603523.919086;126943.665509
DAUM;17;603519.923430;126946.662251
DAUM;18;603515.678045;126949.783858
DAUM;19;603511.682389;126952.655736
DAUM;20;603507.686732;126955.652478
DAUM;21;603503.441348;126958.524356
DAUM;22;603495.450035;126964.517840
DAUM;23;603491.704107;126967.139989
DAUM;24;603487.333858;126970.261596
DAUM;25;603483.213338;126973.258338
DAUM;26;603479.092817;126976.255080
DAUM;27;603474.972297;126979.376687
DAUM;28;603470.976640;126982.248565
DAUM;29;603466.856120;126985.245307
DAUM;30;603463.110192;126988.242049
DAUM;31;603454.619423;126994.110669
DAUM;32;603450.748631;126997.107411
DAUM;33;603446.378382;127000.229018
DAUM;34;603442.507590;127003.225760
DAUM;35;603438.511933;127005.972774
DAUM;36;603434.391413;127009.094380
DAUM;37;603430.395757;127012.091122
DAUM;38;603426.025508;127015.087864
DAUM;39;603422.029851;127018.084607
DAUM;40;603418.159059;127020.706756
DAUM;41;603414.163403;127024.078091
DAUM;42;603409.918018;127026.825105
DAUM;43;603405.922362;127029.821847
DAUM;44;603401.801842;127032.943453
DAUM;45;603397.556457;127035.940196
DAUM;46;603389.690009;127041.559087
DAUM;47;603385.319760;127044.930422
DAUM;48;603377.203583;127050.674178
