STREET,TB_number (in the street),TB_tree,TB_soil/grill
BERC,95,Aesculus hippocastanum,soil
BERC,95,Aesculus hippocastanum,soil
BERC,96,Aesculus hippocastanum,soil
BERC,96,Aesculus hippocastanum,soil
BERC,97,Aesculus hippocastanum,soil
BERC,98,Aesculus hippocastanum,soil
BERC,100,Aesculus hippocastanum,grill
BERC,100,Aesculus hippocastanum,grill
BERC,101,Aesculus hippocastanum,grill
BERC,101,Aesculus hippocastanum,soil
BERC,102,Aesculus hippocastanum,grill
BERC,103,Aesculus hippocastanum,grill
BERC,103,Aesculus hippocastanum,grill
BERC,104,Aesculus hippocastanum,grill
BERC,104,Aesculus hippocastanum,grill
BERC,104,Aesculus hippocastanum,grill
BERC,105,Aesculus hippocastanum,soil
BERC,105,Aesculus hippocastanum,soil
BERC,105,Aesculus hippocastanum,soil
BERC,105,Aesculus hippocastanum,soil
BERC,105,Aesculus hippocastanum,grill
BERC,107,Aesculus hippocastanum,soil
BERC,107,Aesculus hippocastanum,soil
BERC,108,Aesculus hippocastanum,soil
BERC,108,Aesculus hippocastanum,soil
BERC,108,Aesculus hippocastanum,soil
BERC,109,Aesculus hippocastanum,soil
BERC,110,Aesculus hippocastanum,soil
BERC,110,Aesculus hippocastanum,soil
BERC,110,Aesculus hippocastanum,soil
BERC,110,Aesculus hippocastanum,soil
BERC,110,Aesculus hippocastanum,soil
BERC,111,Aesculus hippocastanum,soil
BERC,111,Aesculus hippocastanum,soil
BERC,111,Aesculus hippocastanum,soil
BERC,112,Aesculus hippocastanum,soil
BERC,112,Aesculus hippocastanum,soil
BERC,112,Aesculus hippocastanum,soil
BERC,113,Aesculus hippocastanum,soil
BERC,113,Aesculus hippocastanum,soil
BERC,113,Aesculus hippocastanum,soil
BERC,114,Aesculus hippocastanum,soil
BERC,114,Aesculus hippocastanum,(na)
BERC,114,Aesculus hippocastanum,grill
BERC,119,Tilia sp.,grill
BERC,008bis,Tilia sp.,grill
BERY,2,Tilia sp.,grill
BERY,2,Tilia sp.,grill
BERY,2,Tilia sp.,grill
BERY,6,Tilia sp.,grill
BERY,21,Tilia sp.,grill
BERY,22,Tilia sp.,grill
BERY,23,Tilia sp.,grill
BERY,24,Tilia sp.,grill
BERY,25,Tilia sp.,grill
BERY,26,Tilia sp.,grill
BERY,26,Tilia sp.,grill
BERY,27,Tilia sp.,grill
BERY,28,Tilia sp.,grill
BERY,28,Tilia sp.,grill
BERY,29,Tilia sp.,grill
BERY,30,Tilia sp.,grill
BERY,31,Tilia sp.,grill
BERY,32,Tilia sp.,grill
BERY,33,Tilia sp.,grill
BERY,34,Tilia sp.,grill
BERY,35,Tilia sp.,grill
BERY,36,Tilia sp.,grill
BERY,37,Tilia sp.,grill
BERY,38,Tilia sp.,grill
BERY,39,Tilia sp.,grill
BERY,40,Tilia sp.,grill
BERY,40,Tilia sp.,grill
BERY,41,Tilia sp.,grill
BERY,41,Tilia sp.,grill
BERY,42,Tilia sp.,grill
BERY,43,Tilia sp.,grill
BERY,44,Tilia sp.,grill
BERY,44,Tilia sp.,grill
BERY,45,Tilia sp.,grill
BERY,46,Tilia sp.,grill
BERY,47,Tilia sp.,grill
BERY,47,Tilia sp.,grill
BERY,48,Tilia sp.,grill
BERY,49,Tilia sp.,grill
BERY,50,Tilia sp.,grill
BERY,51,Tilia sp.,grill
BERY,52,Tilia sp.,grill
BERY,53,Platanus x acerifolia,grill
BERY,53,Platanus x acerifolia,grill
BERY,54,Platanus x acerifolia,grill
BERY,55,Platanus x acerifolia,soil
BERY,55,Platanus x acerifolia,soil
BERY,56,Platanus x acerifolia,grill
BERY,57,Platanus x acerifolia,soil
BERY,57,Platanus x acerifolia,soil
BERY,57,Platanus x acerifolia,soil
BERY,57,Platanus x acerifolia,soil
BERY,57,Platanus x acerifolia,soil
BERY,58,Platanus x acerifolia,grill
BERY,59,Platanus x acerifolia,grill
BERY,59,Platanus x acerifolia,grill
BERY,59,Platanus x acerifolia,grill
BERY,59,Platanus x acerifolia,soil
BERY,60,Platanus x acerifolia,grill
BERY,61,Platanus x acerifolia,grill
BERY,61,Platanus x acerifolia,grill
BERY,61,Platanus x acerifolia,grill
BERY,61,Platanus x acerifolia,grill
BERY,62,Platanus x acerifolia,grill
BERY,62,Platanus x acerifolia,grill
BERY,62,Platanus x acerifolia,soil
BERY,62,Platanus x acerifolia,soil
BERY,63,Platanus x acerifolia,soil
BERY,64,Platanus x acerifolia,soil
BERY,65,Platanus x acerifolia,grill
BERY,65,Platanus x acerifolia,soil
BERY,66,Platanus x acerifolia,soil
BERY,67,Platanus x acerifolia,soil
BERY,68,Platanus x acerifolia,soil
BERY,71,Platanus x acerifolia,soil
BERY,73,Platanus x acerifolia,soil
BERY,74,Platanus x acerifolia,soil
BERY,76,Platanus x acerifolia,grill
BERY,76,Platanus x acerifolia,soil
BERY,77,Platanus x acerifolia,soil
BERY,77,Platanus x acerifolia,soil
BERY,78,Platanus x acerifolia,soil
BERY,79,Platanus x acerifolia,grill
BERY,80,Platanus x acerifolia,soil
BERY,82,Platanus x acerifolia,soil
BERY,83,Platanus x acerifolia,soil
BERY,84,Platanus x acerifolia,soil
BERY,85,Platanus x acerifolia,soil
BERY,86,Platanus x acerifolia,(na)
BERY,86,Platanus x acerifolia,grill
BERY,87,Platanus x acerifolia,soil
BERY,88,Platanus x acerifolia,soil
BERY,90,Platanus x acerifolia,soil
BERY,91,Platanus x acerifolia,soil
BERY,92,Platanus x acerifolia,grill
BERY,94,Platanus x acerifolia,soil
BERY,95,Platanus x acerifolia,(na)
BERY,96,Platanus x acerifolia,grill
BERY,99,Platanus x acerifolia,grill
BERY,99,Platanus x acerifolia,grill
CHAR,1,Platanus x acerifolia,grill
CHAR,2,Platanus x acerifolia,grill
CHAR,2,Platanus x acerifolia,grill
CHAR,2,Platanus x acerifolia,grill
CHAR,2,Platanus x acerifolia,grill
CHAR,3,Platanus x acerifolia,grill
CHAR,3,Platanus x acerifolia,grill
CHAR,3,Platanus x acerifolia,grill
CHAR,3,Platanus x acerifolia,grill
CHAR,3,Platanus x acerifolia,grill
CHAR,3,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,4,Platanus x acerifolia,grill
CHAR,5,Platanus x acerifolia,grill
CHAR,5,Platanus x acerifolia,grill
CHAR,5,Platanus x acerifolia,grill
CHAR,5,Platanus x acerifolia,grill
CHAR,5,Platanus x acerifolia,grill
CHAR,5,Platanus x acerifolia,grill
CHAR,6,Platanus x acerifolia,soil
CHAR,6,Platanus x acerifolia,soil
CHAR,6,Platanus x acerifolia,soil
CHAR,6,Platanus x acerifolia,soil
CHAR,7,Platanus x acerifolia,soil
CHAR,7,Platanus x acerifolia,soil
CHAR,7,Platanus x acerifolia,soil
CHAR,7,Platanus x acerifolia,soil
CHAR,7,Platanus x acerifolia,soil
CHAR,7,Platanus x acerifolia,soil
CHAR,8,Platanus x acerifolia,soil
CHAR,8,Platanus x acerifolia,soil
CHAR,8,Platanus x acerifolia,soil
CHAR,8,Platanus x acerifolia,soil
CHAR,8,Platanus x acerifolia,soil
